TimeOrder,Timeslice,Scenario,PA_Dataset,Replicate,Area_CTA,Area_GLM,Area_MAXENT,Area_RF
1,M2Plio,Historical,PA1,1,56991.621,69396.444,59226.136,56160.745
1,M2Plio,Historical,PA1,2,61033.41,111151.431,55965.45,69181.9
1,M2Plio,Historical,PA1,3,64488.428,89927.262,65067.626,64981.474
1,M2Plio,Historical,PA2,1,62896.584,76317.473,60101.209,57770.026
1,M2Plio,Historical,PA2,2,62896.584,113457.029,54461.372,54285.039
1,M2Plio,Historical,PA2,3,55965.45,50600.423,60018.654,52281.143
1,M2Plio,Historical,PA3,1,55458.076,46341.761,60067.895,66061.393
1,M2Plio,Historical,PA3,2,62896.584,47328.341,72776.75,58689.646
1,M2Plio,Historical,PA3,3,61767.111,130708.789,70392.048,67121.459
2,MidPlio,Historical,PA1,1,32068.953,54262.026,32728.092,32072.669
2,MidPlio,Historical,PA1,2,34656.372,162351.537,32158.83,46182.884
2,MidPlio,Historical,PA1,3,35935.14,104617.386,36311.375,37952.628
2,MidPlio,Historical,PA2,1,35988.614,66352.578,31453.298,32050.785
2,MidPlio,Historical,PA2,2,35988.614,70781.051,30785.224,31087.756
2,MidPlio,Historical,PA2,3,32158.83,28207.97,30748.193,30241.696
2,MidPlio,Historical,PA3,1,31996.286,26075.549,33537.91,34059.529
2,MidPlio,Historical,PA3,2,35988.614,39346.759,42086.734,33216.217
2,MidPlio,Historical,PA3,3,33718.31,117940.297,38865.659,40502.604
3,MIS19,Historical,PA1,1,52766.486,53939.003,55512.146,48459.216
3,MIS19,Historical,PA1,2,50452.762,62594.659,46765.757,57065.116
3,MIS19,Historical,PA1,3,64111.555,57511.785,65535.948,56284.665
3,MIS19,Historical,PA2,1,52059.87,71268.065,64475.975,65782.273
3,MIS19,Historical,PA2,2,52059.87,65179.611,65125.474,52647.041
3,MIS19,Historical,PA2,3,46872.959,43430.951,67724.885,50199.603
3,MIS19,Historical,PA3,1,46602.825,55020.645,61757.858,58452.36
3,MIS19,Historical,PA3,2,52059.87,70190.737,90697.485,55824.923
3,MIS19,Historical,PA3,3,62253.47,59983.839,66562.55,52636.439
4,LastInterglacial,Historical,PA1,1,51916.198,76662.396,76265.188,51646.782
4,LastInterglacial,Historical,PA1,2,45519.01,37992.248,62547.527,65957.549
4,LastInterglacial,Historical,PA1,3,44923.835,81010.169,80093.453,48466.847
4,LastInterglacial,Historical,PA2,1,48007.288,90098.596,60452.286,51150.834
4,LastInterglacial,Historical,PA2,2,81425.059,101425.285,61286.677,47761.047
4,LastInterglacial,Historical,PA2,3,30820.729,65628.795,58427.834,61166.528
4,LastInterglacial,Historical,PA3,1,67304.724,121994.546,71605.627,54341.927
4,LastInterglacial,Historical,PA3,2,53645.914,92496.406,41997.323,55219.818
4,LastInterglacial,Historical,PA3,3,77850.619,105341.308,34628.614,55331.419
5,HS1,Historical,PA1,1,85859.26,72127.491,114721.039,79496.271
5,HS1,Historical,PA1,2,95432.112,53247.206,106430.423,101682.276
5,HS1,Historical,PA1,3,94328.982,95420.112,103000.752,80149.587
5,HS1,Historical,PA2,1,100583.441,89597.901,97118.955,85857.99
5,HS1,Historical,PA2,2,153756.37,89419.207,98599.422,79364.038
5,HS1,Historical,PA2,3,70055.306,78068.765,84285.066,87800.335
5,HS1,Historical,PA3,1,104354.207,111981.997,107324.791,81100.271
5,HS1,Historical,PA3,2,68698.267,83018.889,87747.843,84543.91
5,HS1,Historical,PA3,3,98312.562,101028.477,73547.495,82598.921
