OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
001	0	GX013128.MP4	2813	R_GX010085.MP4	2961	1.56434		-1.00000	26.37249	-14.06805	-743.53838	0.47901	0.46162	1.49244	0.77730	744.13893	2.24416								sync		
003	8	GX010095.MP4	82833	L_GX010079.MP4	82687	46.06435	D	0.08008	-1002.96817	-642.56196	-2653.19632	7.19019	4.85354	19.06771	3.27159	2908.31253	24.14246	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	or duplicate other measurement?		
006	0	GX012828.MP4	42025	L_GX010083.MP4	42159	23.37057	B	3.97731	-814.84251	-396.29090	-1352.64010	3.29426	1.82735	5.71280	0.23975	1628.08170	33.74012	Labridae	Achoerodus	gouldii	37384002	1	M	Passing			
007	1	GX010096.MP4	70716	L_GX012828.MP4	70842	39.32595	C	3.90891	2691.53222	-1694.25340	-3732.97810	23.76077	15.18489	33.89240	9.87500	4904.07645	40.29488	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing	estimate		
008	0	L_GX010077.MP4	1521	R_GX010092.MP4	1408	0.84585		-1.00000																	sync		
010	3	L_GX010096.MP4	50138	GX010097.MP4	49966	27.88230	B	8.44010	1297.00021	-8.32683	-1867.01280	5.71318	1.12130	8.65499	0.12764	2273.32701	34.78716	Labridae		spp		1	AD	Passing			
012	0	GX010084.MP4	1232	R_GX012829.MP4	1085	0.68513		-1.00000	23.24466	-11.66851	-380.69426	0.26776	0.24671	0.48505	1.52640	381.58169	3.83231								sync		
013	1	L_GX010094.MP4	49555	GX010094.MP4	51531	27.55809	B	11.49370	274.27032	249.97967	-3389.98972	3.04879	2.92239	28.48704	1.20051	3410.24109	6.25615	Labridae	Achoerodus	gouldii	37384002	1	1100-1299mm	Passing	estimate		
013	2	L_GX010094.MP4	50844	GX010094.MP4	52820	28.27491	B	12.21053	370.45602	864.40257	-2536.41652	2.78504	5.72707	16.29206	0.09555	2705.15031	20.35570	Labridae	Achoerodus	gouldii	37384002	1	F	Passing	estimate		
013	3	L_GX010094.MP4	51227	GX010094.MP4	53203	28.48790	B	12.42352	238.04665	133.33559	-3482.45443	2.90969	2.38902	30.00905	7.60871	3493.12660	4.48637	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
013	4	L_GX010094.MP4	52648	GX010094.MP4	54624	29.27814	B	13.21376	842.23911	490.46178	-2128.62835	4.70550	3.01093	11.85848	2.09537	2341.14889	24.60835	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
013	6	L_GX010094.MP4	85249	GX010094.MP4	87225	47.40792	D	1.34245	122.54490	104.65192	-1455.72234	0.98956	0.96413	5.35134	2.28612	1464.61490	6.32557	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
014	0	L_GX010081.MP4	1359	GX010097.MP4	1184	0.75576		-1.00000																	sync		
016	0	L_GX010079.MP4	1548	GX010098.MP4	1827	0.86086		-1.00000	-11.52991	-20.05180	-993.33107	0.62595	0.61260	2.53846	0.91739	993.60034	1.59897								sync		
017	2	GX010095.MP4	60687	L_GX010095.MP4	60928	33.74871	C	2.23279	2237.40466	-2376.70240	-5309.05701	29.59026	31.76836	70.99798	4.52076	6232.23718	31.57471	Labridae	Achoerodus	gouldii	37384002	2	AD	Passing			
017	3	GX010095.MP4	69351	L_GX010095.MP4	69592	38.56686	C	7.05093	290.51103	-242.64010	-1242.99533	1.15491	1.08028	3.97390	0.36588	1299.34917	16.92783	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
018	0	GX010085.MP4	1683	R_GX012830.MP4	1323	0.93594		-1.00000	17.49992	-8.59881	-723.47464	0.46406	0.44859	1.59435	3.82321	723.73734	1.47440								sync		
019	0	GX010086.MP4	3310	R_GX012831.MP4	2837	1.84073		-1.00000	6.56819	-10.40159	-676.82698	0.43627	0.42107	1.40433	1.30874	676.93877	0.89677								sync		
020	0	L_GX010096.MP4	2674	GX010096.MP4	2508	1.48704		-1.00000	4.37799	0.96029	-740.69660	0.47577	0.45894	1.44043	1.63043	740.71016	0.34977								sync		
021	0	GX010099.MP4	1642	L_GX010080.MP4	1796	0.91313		-1.00000																	sync		
023	0	L_GX010097.MP4	2810	GX010098.MP4	2664	1.56267		-1.00000																	sync		
024	1	GX010098.MP4	39353	L_GX010082.MP4	39518	21.88464	B	2.75831	-1197.99443	-751.90949	-1777.46955	5.57178	3.70997	8.49312	1.78153	2271.55377	38.47616	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	estimate - very blue		
024	2	GX010098.MP4	49860	L_GX010082.MP4	50025	27.72770	B	8.60137	-987.96544	-837.80836	-2017.09826	5.40297	4.75236	11.16744	5.17056	2397.22422	32.66632	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
025	0	L_GX010083.MP4	3961	GX010099.MP4	3765	2.20276		-1.00000	49.38641	-3.03068	-812.52242	0.52353	0.50164	1.77329	3.39425	814.02757	3.48139								sync		
027	0	L_GX010097.MP4	1472	GX010097.MP4	906	0.81860		-1.00000																	sync		
028	0	GX010087.MP4	1936	R_GX012832.MP4	1785	1.07663		-1.00000																	sync		
029	0	L_GX010098.MP4	649	GX010099.MP4	456	0.36092		-1.00000																	sync		
030	0	GX012831.MP4	467	R_GX012831.MP4	350	0.25970		-1.00000	19.04092	-7.31142	-829.98179	0.52982	0.51327	1.78253	0.02590	830.23236	1.33776								sync		
030	1	GX012831.MP4	13110	R_GX012831.MP4	12993	7.29062	A	0.51941	447.36798	357.36099	-921.15584	1.13761	1.00699	2.14767	2.62450	1084.60734	32.02390	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
030	3	GX012831.MP4	110452	R_GX012831.MP4	110335	61.42358	D	9.65075	504.28712	610.18496	-1332.22376	1.82347	2.20237	4.54383	1.00632	1549.66169	30.91513	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			
033	0	GX010088.MP4	1843	R_GX012833.MP4	1627	1.02491		-1.00000	-1.63687	-9.78986	-730.52605	0.46711	0.45277	1.62286	3.95989	730.59348	0.60477								sync		
034	0	L_GX010098.MP4	1447	GX010098.MP4	1213	0.80469		-1.00000																	sync		
036	0	L_GX010084.MP4	1908	GX010100.MP4	1700	1.06106		-1.00000																	sync		
038	0	L_GX012833.MP4	232	GX010102.MP4	90	0.12902		-1.00000	-21.79404	9.37668	-1033.27642	0.65089	0.63683	2.74116	3.81518	1033.54877	1.22851								sync		
039	0	L_GX010099.MP4	5737	GX010100.MP4	5580	3.19041	A	0.78634	1704.61310	468.39895	-2473.80157	9.83734	3.09799	14.99258	0.63613	3040.52587	35.61745	Labridae	Achoerodus	gouldii	37384002	2	AD	Passing			
041	0	L_GX010101.MP4	293	GX010101.MP4	132	0.16294		-1.00000	8.69617	-21.43880	-963.57527	0.60689	0.59530	2.47322	3.36336	963.85297	1.14549								sync		
042	0	L_GX012833.MP4	524	GX012833.MP4	350	0.29140		-1.00000	-12.53712	-8.97006	-1063.06335	0.66616	0.65294	2.87449	7.23756	1063.17511	0.71339								sync		
042	4	L_GX012833.MP4	28722	GX012833.MP4	28548	15.97262	A	4.91602	608.87595	613.68528	-1400.80467	2.23535	2.31876	4.99958	0.43554	1646.08423	31.86139	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
043	0	L_GX012834.MP4	263	GX012834.MP4	140	0.14626		-1.00000	3.18572	-11.93231	-830.86164	0.52940	0.51443	1.78684	4.49477	830.95343	0.60925								sync		
