OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
001	0	0	1240.39604	556.03960	721.18812	556.03960
001	1	0	1135.45545	218.15842	1167.47525	212.46535
001	1	1	1526.90099	201.06931	1619.34653	189.18812
001	2	0	380.22772	428.47525	376.88119	411.06931
001	2	1	18.11881	396.44554	14.85149	379.18812
001	3	0	877.18812	83.16832	880.98020	84.95050
001	3	1	643.72277	93.26733	653.15842	99.50495
003	0	0	1286.26733	906.36634	1298.39604	876.82178
003	0	1	1476.36634	900.12871	1507.50495	857.21782
003	1	0	1486.80198	559.97030	1487.77228	546.82178
003	1	1	1888.51485	467.05941	1830.29703	436.46535
003	2	0	1277.86674	120.58209	1263.71773	135.70149
003	2	1	1560.62015	215.10448	1494.79119	233.77612
003	3	0	1427.32634	747.29851	1426.52466	718.32836
003	3	1	1191.89087	747.73134	1218.82057	728.67164
003	4	0	1318.47744	405.40299	1456.01679	407.47761
003	4	1	1604.01154	165.01493	1716.64848	191.42537
003	5	0	1152.53095	309.13060	1122.13431	315.33955
003	5	1	981.07555	20.82090	1009.62539	34.90299
005	0	0	710.90346	159.28358	604.95488	161.13433
005	0	1	145.24554	246.47761	79.07660	235.73134
006	0	0	1620.50682	180.25000	1605.98216	225.19776
007	0	0	647.65373	296.82463	668.87828	267.07463
007	0	1	467.20776	118.07463	485.98216	71.17537
008	0	0	1257.16684	566.19403	745.43547	537.98507
009	0	0	1355.81188	248.25743	1467.15842	261.72277
009	0	1	1083.43564	229.84158	1187.05941	237.36634
010	0	0	1662.47114	52.77612	1736.42183	44.91045
010	0	1	1151.02833	198.34328	1182.15530	209.13433
010	1	0	671.28227	413.11940	589.03043	415.82090
010	1	1	417.86674	5.83582	294.11123	63.17910
011	0	0	585.78218	444.12871	619.35644	462.17822
011	0	1	915.18812	431.65347	934.20792	451.78218
011	1	0	946.47744	232.68657	957.01049	257.28358
011	1	1	1202.98426	247.29851	1228.40714	264.08955
012	0	0	1474.75341	570.22388	533.89297	574.25373
012	1	0	362.65347	411.88119	527.19802	421.43564
012	1	1	113.16832	331.74257	299.67327	358.16832
012	2	0	461.45545	279.91089	603.50495	297.38614
012	2	1	585.31683	186.04950	679.24752	204.71287
013	0	0	360.42602	608.38060	381.85729	574.64179
013	0	1	640.01679	516.40299	649.49213	505.97761
013	1	0	943.44554	350.57426	957.29703	353.42574
013	1	1	1105.32673	342.25743	1173.23762	346.29703
013	2	0	1071.68317	509.70297	1115.64356	519.20792
013	3	0	1003.39874	265.42537	982.85729	262.98134
013	3	1	813.73977	380.20896	781.52886	375.89552
014	0	0	1245.07870	568.20896	763.56768	570.22388
016	0	0	1170.53515	562.16418	811.92025	537.98507
016	1	0	1371.11857	194.37313	1547.89612	255.20896
016	1	1	1201.16474	203.14925	1344.97901	241.97015
016	2	0	773.00990	128.91089	857.91089	114.05941
016	2	1	447.88119	51.08911	570.68317	6.83168
017	0	0	160.99010	109.00990	94.45545	99.50495
017	0	1	462.17822	46.63366	423.86139	34.75248
017	1	0	293.14166	155.71642	281.03253	150.78731
017	1	1	664.64638	41.66791	782.72508	32.91045
018	0	0	1166.50577	556.11940	775.65582	550.07463
018	1	0	1346.60756	159.31343	1474.40714	123.38806
018	1	1	967.01364	181.49254	1034.07660	177.52239
018	2	0	635.06931	379.96040	693.09901	386.81188
018	2	1	304.40594	460.93069	364.70297	464.93069
019	0	0	1172.54984	556.11940	737.37671	558.13433
019	1	0	729.28713	119.10891	829.85149	130.80198
019	1	1	948.19802	54.65347	1011.33663	50.60396
020	0	0	1228.51485	531.08911	677.22772	531.08911
020	1	0	564.71287	392.08911	522.37624	377.41584
020	1	1	115.84158	132.77228	61.78218	129.73267
021	0	0	767.59706	511.79104	1222.91710	544.02985
022	0	0	1112.60021	250.85075	1124.42392	268.35821
022	0	1	1399.62225	168.14925	1405.64218	176.40299
022	1	0	292.05456	135.98507	230.96432	184.73134
022	1	1	955.62225	126.19403	846.84050	165.64179
023	0	0	1551.31165	509.77612	443.23190	548.05970
024	0	0	1642.02623	288.38433	1635.98111	299.34328
024	0	1	1599.36306	97.42537	1597.01889	123.39925
024	1	0	1670.17838	46.34328	1682.26653	86.64179
024	2	0	1834.68311	355.80224	1783.57293	359.79851
024	2	1	1742.61070	98.70522	1743.24449	138.28358
025	0	0	1230.97587	546.04478	753.49423	535.97015
025	1	0	211.54250	105.27985	204.49108	126.43657
025	1	1	767.33998	91.67910	725.26653	93.19030
025	2	0	1760.67366	205.55224	1767.50262	180.43284
025	2	1	1353.39035	230.01493	1325.09654	217.25373
025	3	0	760.25289	98.80597	779.80797	97.25373
025	3	1	1235.12592	78.80597	1260.62749	63.05970
025	4	0	1553.00630	328.89552	1617.86464	323.34328
025	4	1	1662.62015	275.14925	1760.62539	266.70149
026	0	0	1789.29696	226.95522	1756.34837	315.77612
026	0	1	1217.22036	38.67164	1201.20881	54.80597
026	1	0	808.27702	392.41791	912.15215	379.11940
026	1	1	975.76390	421.11940	1070.11857	430.23881
027	0	0	1168.52046	537.98507	705.14166	533.95522
028	0	0	1079.87408	537.98507	828.03778	546.04478
029	0	0	1184.63799	544.02985	842.14061	570.22388
030	0	0	1247.09339	525.89552	757.52361	566.19403
030	1	0	444.12067	123.05970	461.30220	164.34328
030	1	1	692.50997	57.02985	675.17733	94.47761
030	2	0	1482.81217	2.01493	1287.38720	8.05970
031	0	0	202.48793	597.71642	276.88143	600.25373
031	0	1	12.59182	608.80597	100.97167	605.52239
031	1	0	1004.97692	194.65672	1013.34837	213.44776
031	1	1	703.00839	288.86567	750.26548	310.08955
031	2	0	444.84260	209.02985	525.48059	239.05970
031	2	1	124.05247	304.64179	235.37775	334.67164
