OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
001	1	GX013128.MP4	24748	R_GX010085.MP4	24896	13.76264	A	0.43933	1082.65755	12.57320	1.90753	3084.74683	25.36293	4.07315	4.29637	1043.48538	810.62455	-2787.41620	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	1000		Y
001	2	GX013128.MP4	27796	R_GX010085.MP4	27944	15.45766	A	2.13435	532.18896	11.25991	1.60182	2112.99862	32.46905	62.60655	0.72809	-1113.95371	214.14602	-1782.69789	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			N
001	3	GX013128.MP4	68629	R_GX010085.MP4	68777	38.16535	B	9.84150	474.63905	5.22259	2.14746	2571.37327	22.78697	8.91269	6.00885	-359.01594	928.94606	-2370.68076	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
003	0	GX010095.MP4	2783	L_GX010079.MP4	2637	1.54766	A	0.56501	561.96210	18.82688	2.48124	2595.14439	26.77812	65.66292	17.12870	-932.23384	705.68151	-2316.83579	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
003	1	GX010095.MP4	2814	L_GX010079.MP4	2668	1.56490	A	0.58225	633.03522	12.17989	18.56209	2552.88656	33.25959	27.40468	16.85752	-1398.61571	-64.18511	-2134.70938	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing	624 mm		Y
003	2	GX010095.MP4	2836	L_GX010079.MP4	2690	1.57713	A	0.59448	814.51241	16.16484	4.99838	3155.59983	27.96278	19.49294	9.95627	-1182.77831	-889.05096	-2787.19108	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
003	3	GX010095.MP4	3048	L_GX010079.MP4	2902	1.69503	A	0.71238	490.48098	8.24164	5.43079	2619.29631	20.92960	1.34534	0.38803	-837.05398	418.10611	-2446.47524	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
003	4	GX010095.MP4	35573	L_GX010079.MP4	35427	19.78254	B	3.79935	413.27648	3.93263	0.95838	1621.56413	29.87069	22.65406	39.83305	-748.45747	-303.39128	-1406.14202	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
003	5	GX010095.MP4	52220	L_GX010079.MP4	52074	29.04012	B	13.05693	1027.85108	24.30682	5.05260	2892.88942	18.26901	62.25682	24.22668	-359.52456	-832.54813	-2747.07388	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			N
005	0	GX010093.MP4	62544	R_GX010089.MP4	62349	34.78141	C	1.97197	700.89904	4.55587	0.30086	1790.54876	29.41999	14.48162	13.94926	-754.92322	451.29397	-1559.64405	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
007	0	GX010096.MP4	9811	L_GX012828.MP4	9937	5.45601	A	0.04004	507.11110	11.40233	0.74134	2601.10519	25.17262	39.07879	41.42981	818.73860	-744.12777	-2354.07926	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
009	0	GX010095.MP4	50444	R_GX010073.MP4	50267	28.05247	B	9.64019	670.08768	14.10346	0.83709	2917.81142	18.90937	27.17895	13.11569	666.37976	670.86650	-2760.34412	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
010	0	L_GX010096.MP4	14018	GX010097.MP4	13846	7.79557	A	3.35391	819.07643	7.61079	0.41095	2079.16601	26.24738	29.87834	4.82650	682.28982	616.41888	-1864.78944	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			N
010	1	L_GX010096.MP4	79572	GX010097.MP4	79400	44.25087	C	9.80813	509.28740	4.65859	2.98547	1375.52610	26.91892	68.60982	40.38971	-523.47216	337.31737	-1226.48520	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
011	0	GX012829.MP4	21410	R_GX012829.MP4	21254	11.90634	A	6.04826	915.23445	9.26928	3.46146	3343.63803	11.34950	2.31618	0.15091	-595.75858	279.36088	-3278.25326	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			N
011	1	GX012829.MP4	107003	R_GX012829.MP4	106847	59.50556	D	8.64586	728.61202	7.58944	2.17801	3229.19291	14.92789	8.06413	2.00981	319.02692	768.24239	-3120.21030	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
012	1	GX010084.MP4	42355	R_GX012829.MP4	42208	23.55409	B	3.47291	729.15143	32.46775	0.54732	3147.92163	28.29031	73.78902	6.19651	-1440.92084	386.75988	-2771.92615	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
012	2	GX010084.MP4	42475	R_GX012829.MP4	42328	23.62082	B	3.53965	663.37017	25.89030	0.26611	2930.60701	22.10970	53.02027	6.96783	-854.23659	697.81368	-2715.10467	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
013	0	L_GX010094.MP4	4433	GX010094.MP4	6409	2.46524	A	1.40140	615.71699	12.19452	2.50026	2787.18801	20.60884	22.17858	17.52855	-980.41039	-35.45459	-2608.82261	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			N
013	1	L_GX010094.MP4	48806	GX010094.MP4	50782	27.14156	B	11.07718	1109.71805	33.35597	7.33488	3352.68651	10.80632	56.19844	9.55624	306.25102	548.94535	-3293.23187	Labridae	Achoerodus	gouldii	37384002	1	1100-1299mm	Passing			N
013	3	L_GX010094.MP4	63194	GX010094.MP4	65170	35.14289	C	4.07796	466.61532	4.54927	5.04222	2372.96400	10.94274	11.63023	32.45511	-106.41836	437.70387	-2329.81728	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			Y
016	1	L_GX010079.MP4	56187	GX010098.MP4	56466	31.24621	B	11.90968	993.59082	39.23784	9.53968	4892.12326	22.96247	28.30265	11.07517	1336.62696	1362.35460	-4504.47425	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			N
016	2	L_GX010079.MP4	115092	GX010098.MP4	115371	64.00394	D	14.66632	745.32105	11.09991	3.63473	3041.11730	27.21479	12.83672	10.30195	-890.07341	1068.67031	-2704.46068	Labridae	Achoerodus	gouldii	37384002	1	0700-0899 mm	Passing			Y
017	0	GX010095.MP4	58113	L_GX010095.MP4	58354	32.31728	C	0.80136	600.54572	12.85035	1.41379	2819.48585	34.94268	35.68121	26.85814	1323.33369	-925.53909	-2311.20440	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			Y
017	1	GX010095.MP4	91276	L_GX010095.MP4	91517	50.75960	D	4.24313	989.07322	8.01705	2.25226	2079.20841	29.34765	28.12986	0.84754	757.99022	-681.09057	-1812.36698	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
018	1	GX010085.MP4	23147	R_GX012830.MP4	22787	12.87230	A	7.10766	984.20414	10.18448	0.44068	2650.53787	22.17910	14.20055	9.46944	591.33571	807.15237	-2454.42012	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			Y
018	2	GX010085.MP4	44038	R_GX012830.MP4	43678	24.49002	B	3.72483	598.11565	11.58100	2.82765	2031.91630	21.11144	47.06190	16.12218	-702.22580	206.15727	-1895.53737	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			N
