OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
001	0	GX013128.MP4	24352	13.54242	A	0.21911	1324.75248	401.58416	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	est based on big M later		
001	1	GX013128.MP4	24352	13.54242	A	0.21911	1381.78218	493.06931	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	2	GX013128.MP4	24560	13.65809	A	0.33478	1587.96040	373.95600	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	3	GX013128.MP4	24678	13.72371	A	0.40040	1121.06931	438.92519	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	391		
001	4	GX013128.MP4	24731	13.75318	A	0.42987	1627.72277	306.53465	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	5	GX013128.MP4	24748	13.76264	A	0.43933	1355.64356	203.16832	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	1000		
001	6	GX013128.MP4	25098	13.95728	A	0.63397	952.87129	393.26733	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	7	GX013128.MP4	25098	13.95728	A	0.63397	1185.74257	381.38614	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	8	GX013128.MP4	25638	14.25758	A	0.93427	1694.25743	198.41584	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	9	GX013128.MP4	25902	14.40439	A	1.08108	1224.95050	358.81188	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	10	GX013128.MP4	26047	14.48503	A	1.16172	942.17822	216.23762	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	11	GX013128.MP4	26047	14.48503	A	1.16172	1791.68317	124.75248	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	12	GX013128.MP4	26205	14.57289	A	1.24958	1789.30693	424.15842	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	13	GX013128.MP4	26606	14.79589	A	1.47258	1271.28713	350.49505	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	395		
001	14	GX013128.MP4	27140	15.09286	A	1.76955	983.76238	394.45545	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	15	GX013128.MP4	27796	15.45766	A	2.13435	199.45545	398.57756	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
001	16	GX013128.MP4	27796	15.45766	A	2.13435	1450.69307	305.34653	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	17	GX013128.MP4	27799	15.45933	A	2.13602	1485.14851	297.02970	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	408		
001	18	GX013128.MP4	27845	15.48491	A	2.16160	940.62376	426.17822	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing	536		
001	19	GX013128.MP4	28282	15.72793	A	2.40462	1461.05941	244.73707	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	20	GX013128.MP4	28418	15.80357	A	2.48026	1697.82178	65.34653	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	21	GX013128.MP4	28800	16.01600	A	2.69269	1575.44554	64.15842	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	22	GX013128.MP4	32400	18.01800	A	4.69469	1804.75248	146.13861	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	23	GX013128.MP4	33018	18.36168	A	5.03837	1591.04950	84.95050	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
001	24	GX013128.MP4	33283	18.50905	A	5.18574	1688.12871	367.37624	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
001	25	GX013128.MP4	33611	18.69145	A	5.36814	1215.44554	337.42574	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	est - dodgy measurement 1200		
001	26	GX013128.MP4	33761	18.77487	A	5.45156	1451.94059	178.57426	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing	1024		
001	27	GX013128.MP4	34959	19.44109	A	6.11778	1651.45545	322.15842	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing	413 mm		
