OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
001	0	0	1240.39604	556.03960	721.18812	556.03960
003	0	0	1057.92550	205.40299	1122.73242	211.58209
003	0	1	861.66842	25.88060	908.39244	28.67164
003	1	0	1267.49738	567.80597	1299.82267	557.43284
003	1	1	1159.84890	390.19403	1167.78594	390.40299
003	2	0	1318.75656	1053.47015	1416.49318	1008.35821
003	2	1	1160.00420	1050.78358	1232.11333	1024.98507
003	3	0	1277.86674	120.58209	1263.71773	135.70149
003	3	1	1560.62015	215.10448	1494.79119	233.77612
003	4	0	1427.32634	747.29851	1426.52466	718.32836
003	4	1	1191.89087	747.73134	1218.82057	728.67164
003	5	0	1318.47744	405.40299	1456.01679	407.47761
003	5	1	1604.01154	165.01493	1716.64848	191.42537
003	6	0	1152.53095	309.13060	1122.13431	315.33955
003	6	1	981.07555	20.82090	1009.62539	34.90299
003	7	0	1259.36097	240.63806	1178.99685	246.64552
003	7	1	1104.90346	194.51119	1031.87933	200.89552
003	8	0	1254.86569	448.37313	1271.10703	447.71642
003	8	1	1089.54355	363.14552	1112.09024	363.31343
003	9	0	1365.96013	257.91045	1345.81322	270.00000
003	10	0	884.83316	162.35448	873.18573	169.38060
003	10	1	857.39140	28.54478	872.32529	34.72015
003	11	0	1333.97377	295.58582	1340.44806	306.05970
003	11	1	1601.03358	140.76119	1557.33368	168.22388
005	0	0	710.90346	159.28358	604.95488	161.13433
005	0	1	145.24554	246.47761	79.07660	235.73134
006	0	0	1620.50682	180.25000	1605.98216	225.19776
007	0	0	647.65373	296.82463	668.87828	267.07463
007	0	1	467.20776	118.07463	485.98216	71.17537
007	1	0	217.58657	80.59701	58.42602	16.11940
008	0	0	1257.16684	566.19403	745.43547	537.98507
009	0	0	1224.20147	149.85448	1202.81952	160.42164
009	0	1	1664.47954	39.31716	1712.49318	42.06343
009	1	0	1358.90031	344.79851	1478.31060	365.41791
009	1	1	1478.21616	338.68657	1649.41343	363.25000
010	0	0	1662.47114	52.77612	1736.42183	44.91045
010	0	1	1151.02833	198.34328	1182.15530	209.13433
010	1	0	634.33368	364.37313	624.21616	367.34328
010	1	1	224.48793	243.64179	274.36306	248.22388
010	2	0	183.61490	347.52239	288.51207	340.37313
010	2	1	531.08185	284.61194	545.71249	294.86567
010	3	0	1752.00839	476.05970	1866.61805	539.59701
010	4	0	671.28227	413.11940	589.03043	415.82090
010	4	1	417.86674	5.83582	294.11123	63.17910
011	0	0	599.18153	445.61194	632.03987	464.73134
011	0	1	925.97692	432.46269	944.31689	455.07463
011	1	0	336.81007	98.44776	306.42183	144.85075
011	1	1	721.68835	73.22388	712.74187	102.64179
011	2	0	946.47744	232.68657	957.01049	257.28358
011	2	1	1202.98426	247.29851	1228.40714	264.08955
012	0	0	1474.75341	570.22388	533.89297	574.25373
013	0	0	360.42602	608.38060	381.85729	574.64179
013	0	1	640.01679	516.40299	649.49213	505.97761
013	1	0	1021.44806	451.34328	1063.75656	459.40299
013	2	0	1117.67471	149.04478	1123.12067	150.55970
013	3	0	1005.33054	495.67164	1049.65373	497.68657
013	4	0	1409.17104	277.74254	1392.15110	288.13433
013	5	0	1003.39874	265.42537	982.85729	262.98134
013	5	1	813.73977	380.20896	781.52886	375.89552
013	6	0	1134.27072	455.37313	954.96327	455.37313
014	0	0	1245.07870	568.20896	763.56768	570.22388
016	0	0	1170.53515	562.16418	811.92025	537.98507
016	1	0	1371.11857	194.37313	1547.89612	255.20896
016	1	1	1201.16474	203.14925	1344.97901	241.97015
016	2	0	1204.79119	165.32836	1252.56348	190.49254
016	2	1	896.28961	22.07463	945.62015	14.71642
017	0	0	259.09234	20.48507	273.52151	8.22761
017	0	1	649.62434	99.94030	625.48583	95.95522
017	1	0	171.78489	111.27985	113.88038	103.87687
017	1	1	470.88667	56.67537	435.67576	43.95522
017	2	0	547.99580	26.19403	390.84995	14.10448
017	3	0	572.17209	306.26866	797.81742	310.29851
017	4	0	293.14166	155.71642	281.03253	150.78731
017	4	1	664.64638	41.66791	782.72508	32.91045
018	0	0	1166.50577	556.11940	775.65582	550.07463
018	1	0	1346.60756	159.31343	1474.40714	123.38806
018	1	1	967.01364	181.49254	1034.07660	177.52239
019	0	0	1172.54984	556.11940	737.37671	558.13433
021	0	0	767.59706	511.79104	1222.91710	544.02985
022	0	0	1008.32634	215.07463	970.80168	239.41791
022	0	1	640.49423	153.07463	595.32634	189.40299
022	1	0	1112.60021	250.85075	1124.42392	268.35821
022	1	1	1399.62225	168.14925	1405.64218	176.40299
022	2	0	885.10388	224.56716	900.36097	248.34328
022	2	1	655.35047	144.16418	647.83001	178.13433
022	3	0	292.05456	135.98507	230.96432	184.73134
022	3	1	955.62225	126.19403	846.84050	165.64179
023	0	0	1551.31165	509.77612	443.23190	548.05970
024	0	0	1642.02623	288.38433	1635.98111	299.34328
024	0	1	1599.36306	97.42537	1597.01889	123.39925
024	1	0	1670.17838	46.34328	1682.26653	86.64179
024	2	0	1464.67996	56.41791	1482.81217	90.67164
024	3	0	1834.68311	355.80224	1783.57293	359.79851
024	3	1	1742.61070	98.70522	1743.24449	138.28358
025	0	0	1230.97587	546.04478	753.49423	535.97015
026	0	0	808.41448	474.64179	831.00105	447.88060
026	0	1	577.40189	433.29851	648.83526	382.95522
026	1	0	1585.34837	480.67164	1733.60965	590.65672
026	1	1	1697.91920	453.01493	1885.46695	590.40299
026	2	0	1789.29696	226.95522	1756.34837	315.77612
026	2	1	1217.22036	38.67164	1201.20881	54.80597
026	3	0	808.27702	392.41791	912.15215	379.11940
026	3	1	975.76390	421.11940	1070.11857	430.23881
027	0	0	1168.52046	537.98507	705.14166	533.95522
028	0	0	1079.87408	537.98507	828.03778	546.04478
029	0	0	1184.63799	544.02985	842.14061	570.22388
030	0	0	1247.09339	525.89552	757.52361	566.19403
030	1	0	1688.31060	76.56716	1319.62225	84.62687
030	2	0	444.12067	123.05970	461.30220	164.34328
030	2	1	692.50997	57.02985	675.17733	94.47761
030	3	0	1482.81217	2.01493	1287.38720	8.05970
031	0	0	202.48793	597.71642	276.88143	600.25373
031	0	1	12.59182	608.80597	100.97167	605.52239
031	1	0	758.97901	313.61194	728.91815	342.01493
031	1	1	1168.11123	77.16418	1098.79853	99.11940
031	2	0	1004.97692	194.65672	1013.34837	213.44776
031	2	1	703.00839	288.86567	750.26548	310.08955
031	3	0	1187.94334	218.67164	1304.35572	230.38806
031	3	1	993.27387	254.44776	1106.98636	270.32836
031	4	0	444.84260	209.02985	525.48059	239.05970
031	4	1	124.05247	304.64179	235.37775	334.67164
031	5	0	573.28227	67.82090	540.72508	108.59701
031	5	1	214.77335	127.64179	282.01259	175.31343
031	6	0	1490.00839	175.23881	1650.03778	179.65672
031	6	1	1672.14061	144.74627	1886.00210	127.55224
031	7	0	1565.16999	97.98507	1527.94019	95.76119
031	7	1	1170.61175	183.44776	1123.03043	202.71642
031	8	0	1496.46590	157.38806	1508.53935	164.55224
031	8	1	1195.29171	135.22388	1203.18993	149.47761
032	0	0	584.12592	66.64179	373.72718	94.04478
032	0	1	122.69780	367.76119	152.69780	363.86567
032	1	0	141.29171	465.98507	180.14795	449.00000
032	1	1	512.41448	39.83582	460.41658	83.14925
033	0	0	1134.27072	546.04478	749.46485	564.17910
034	0	0	1222.91710	535.97015	751.47954	537.98507
036	0	0	1307.53410	572.23881	654.77440	574.25373
037	0	0	1223.23085	93.29851	1164.97167	76.10448
037	0	1	1583.74921	53.02985	1575.73242	17.25373
037	1	0	1024.05981	119.04478	946.23820	111.91045
037	1	1	1247.71773	111.91045	1216.86464	98.40299
037	2	0	1617.37566	235.20896	1560.29696	218.95522
037	2	1	1210.65897	148.86567	1093.46275	132.25373
037	3	0	1307.42602	52.52239	1364.72193	30.19403
037	3	1	1458.52781	50.49254	1546.14586	23.34328
037	4	0	1591.50787	240.00746	1452.00420	223.63806
037	4	1	1276.83001	84.07463	1143.08499	70.44030
039	0	0	1697.63694	271.10448	1902.62329	289.95522
039	1	0	615.72928	240.13433	588.16999	237.14925
039	1	1	972.16264	60.94030	867.51941	60.43284
042	0	0	1135.84158	538.21782	791.28713	557.22772
042	1	0	37.72277	22.44224	149.23762	92.97250
042	1	1	475.84158	1.04730	512.60396	40.54565
042	2	0	1655.40594	242.75908	1642.38614	254.95050
042	2	1	1427.00000	181.05061	1384.69307	192.61716
042	3	0	511.45545	284.88559	503.14851	314.81628
042	3	1	241.05941	260.78988	254.15842	297.34213
042	4	0	1533.86139	22.57426	1366.33663	27.32673
042	5	0	1266.04950	110.88669	1362.22772	116.13861
042	5	1	1415.30693	81.41254	1504.70297	81.91749
042	6	0	324.80198	63.05721	344.75248	115.99560
042	6	1	524.16832	85.72057	560.51485	123.60946
043	0	0	1226.13861	539.40594	736.63366	566.73267
044	0	0	488.31683	3.56436	355.24752	48.71287
044	1	0	4.30693	406.56326	246.56436	383.37404
044	2	0	9.35644	152.46865	262.70297	172.38174
044	3	0	139.79208	1.19692	106.66337	59.84598
044	4	0	3.11881	223.38174	321.63366	226.10561
044	5	0	11.88119	89.10891	229.30693	122.37624
044	6	0	30.59406	149.79098	336.47525	164.81518
044	7	0	382.99010	206.12211	617.60396	205.34103
045	0	0	1055.04950	537.02970	845.94059	533.46535
045	1	0	1354.33663	323.64906	1470.81188	305.05941
045	1	1	1746.92079	190.24642	1882.27723	123.29373
045	2	0	1119.50495	208.57866	1173.38614	196.63366
045	2	1	1699.01980	320.27173	1821.82178	284.02750
045	3	0	1517.22772	109.30693	1619.40594	49.90099
046	0	0	1152.40294	535.97015	775.65582	525.89552
047	0	0	1191.68317	540.59406	803.16832	516.83168
