system,opcode,depth_m,bait,location,notes,date.time,longitude_dd,latitude_dd,successful_count,maxn_by_size,periods_set,habitat_image,behaviour_success,approach_successful,second_checker
1,001,15,abalone,middle,extremely hectic swell - watch last ,11/03/2024 5:53,123.1734274,-34.08833307,,,Yes,Yes,,,
3,004,30,abalone,middle,"upside down, obscured",11/03/2024 6:48,123.1660767,-34.09453167,No,No,No,No,No,No,
5,007,26,abalone,middle,right loaded as left,11/03/2024 7:09,123.15523,-34.10822833,Yes,Yes,Yes,Yes,,,
7,010,17,abalone,middle,Labridae spp - unsure if BG or BSW,11/03/2024 22:58,123.17497,-34.12427667,Yes,Yes,Yes,Yes,,,
2,013,18,abalone,middle,,11/03/2024 23:15,123.20067,-34.11282833,Yes,Yes,Yes,Yes,,,
6,016,15,abalone,middle,hectic swell,11/04/2024 0:51,123.216175,-34.111585,Yes,Yes,Yes,Yes,,,
4,019,8,abalone,arid,,11/04/2024 3:51,123.1842783,-34.01494167,Yes,Yes,Yes,Yes,,,
5,022,12,abalone,arid,,11/04/2024 4:05,123.1675267,-34.01750667,Yes,Yes,Yes,Yes,,,
3,025,11,abalone,arid,come back and tidy - lots of ADs,11/04/2024 5:30,123.1532833,-34.01240167,Yes,,Yes,Yes,,,
4,028,20,abalone,arid,no WBG,11/04/2024 5:52,123.1445383,-34.00078,Yes,Yes,Yes,Yes,No,No,
5,031,24,abalone,arid,,11/04/2024 7:32,123.110335,-33.961195,Yes,Yes,Yes,Yes,,,
2,034,12,abalone,arid,light off - No BG,11/04/2024 7:43,123.1238483,-33.95039333,Yes,Yes,Yes,Yes,No,No,
3,037,19,abalone,twin,Hannah do as QAQC ,11/04/2024 23:18,122.9151857,-33.9800397,Yes,Yes,Yes,Yes,,,
4,040,27,abalone,twin,facing straight up,11/04/2024 23:29,122.9265272,-33.96510636,,,,,,,
5,043,12,abalone,twin,,11/05/2024 0:59,122.90575,-33.967425,Yes,Yes,Yes,Yes,,,
2,046,10,abalone,twin,emob made - about 60 degrees upwards - watch last,11/05/2024 1:09,122.9029117,-33.97692667,,,,,,,
3,049,9,abalone,twin,,11/05/2024 2:49,122.8525083,-33.981825,Yes,Yes,Yes,Yes,,,
4,052,10,abalone,twin,F in periods,11/05/2024 2:59,122.8334867,-33.98853833,Yes,Yes,Yes,Yes,,,
5,055,15,abalone,mart,example behaviour emob,11/05/2024 5:00,122.7212533,-33.984545,Yes,Yes,Yes,Yes,Yes,Yes,
2,058,14,abalone,mart,,11/05/2024 5:10,122.717535,-33.99426167,Yes,Yes,Yes,Yes,,,
3,061,12,abalone,mart,Male is clearly distinct from others seen in video,11/05/2024 6:45,122.6592567,-33.992795,Yes,Yes,Yes,Yes,,,
4,064,20,abalone,mart,slipped down - 5.5m FOV distance - No WBG,11/05/2024 6:58,122.656828,-34.00304979,Yes,Yes,Yes,Yes,No,No,
5,067,15,abalone,mart,,11/05/2024 22:49,122.5752417,-34.000975,,,,,,,
2,070,26,abalone,mart,,11/05/2024 23:02,122.5839717,-34.00672167,,,,,,,
3,073,10,abalone,mondrain,emob made,11/06/2024 1:49,122.3476717,-34.10001833,,,,,,,
4,076,26,abalone,mondrain,,11/06/2024 1:58,122.3446183,-34.11004,,,,,,,
5,079,19,abalone,mondrain,,11/06/2024 3:47,122.264865,-34.11811667,,,,,,,
2,082,21,abalone,mondrain,,11/06/2024 3:55,122.2587967,-34.12682167,,,,,,,
3,085,12,abalone,mondrain,,11/06/2024 5:16,122.2566683,-34.13892667,,,,,,,
4,088,28,abalone,mondrain,,11/06/2024 5:25,122.2509833,-34.14924,,,,,,,
5,091,18,abalone,legrande,,11/06/2024 22:42,122.28488,-33.99424167,,,,,,,
2,094,25,abalone,legrande,,11/06/2024 23:02,122.2468667,-34.00942333,,,,,,,
3,097,18,abalone,legrande,,11/07/2024 0:22,122.2239217,-33.99502833,,,,,,,
4,100,26,abalone,legrande,,11/07/2024 0:31,122.2144167,-34.00590667,,,,,,,
5,103,17,abalone,legrande,,11/07/2024 2:05,122.1537233,-34.03534167,,,,,,,
2,106,8,abalone,legrande,,11/07/2024 2:25,122.1410283,-34.01571833,,,,,,,
2,002,12,octopus,middle,face down,11/03/2024 6:12,123.182205,-34.08633833,No,No,No,No,No,No,
4,006,29,octopus,middle,right loaded as left,11/03/2024 6:57,123.1597033,-34.103195,Yes,Yes,Yes,Yes,,,
7,009,30,octopus,middle,,11/03/2024 7:25,123.1571783,-34.120565,Yes,Yes,Yes,Yes,,,
5,011,15,octopus,middle,swell very hectic - moving BRUV,11/03/2024 23:06,123.190925,-34.118865,Yes,Yes,Yes,Yes,,,
3,014,15,octopus,middle,"watch at end - obscured by kelp, very insane swell",11/03/2024 23:20,123.2046817,-34.1178,,,Yes,Yes,,,
2,017,14,octopus,middle,right loaded as left - distinctive groper,11/04/2024 0:55,123.217355,-34.10606,Yes,Yes,Yes,Yes,,,
2,020,14,octopus,arid,watch last,11/04/2024 3:56,123.17489,-34.01474333,,,,,,,
7,023,12,octopus,arid,tilted down -> partially obscured -- watch last - emob made,11/04/2024 4:08,123.1630667,-34.01754333,,,Yes,Yes,,,
