OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
001	Han																		
003	Han																		
005	Han																		
006	Han																		
007	Han																		
008	Han																		
009	Han																		
010	Han																		
011	Han																		
012	Han																		
013	Han																		
014	Han																		
016	Han																		
017	Han																		
018	Han																		
019	Han																		
021	Han																		
022	Han																		
023	Han																		
024	Han																		
025	Han																		
026	Han																		
027	Han																		
028	Han																		
029	Han																		
030	Han																		
031	Han																		
032	Han																		
033	Han																		
034	Han																		
036	Han																		
037	Han																		
																			
039	Han																		
042	Han																		
043	Han																		
044	Han																		
045	Han																		
046	Han																		
047	Han																		
048	Han																		
049	Han																		
050	Han																		
051	Han																		
052	Han																		
053	Han																		
055	Han																		
058	Han																		
059	Han																		
060	Han																		
061	Han																		
063	Han																		
064	Han																		
065	Han																		
066	Han																		
