OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
001	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV1\	001.EMObs
003	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV3\	003.EMObs
005	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV2\	005.EMObs
006	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV4\	006.EMObs
007	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV5\	007.EMObs
008	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV6\	008.EMObs
009	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241103\BRUV7\	009.EMObs
010	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV7\	010.EMObs
011	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV5\	011.EMObs
012	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV4\	012.EMObs
013	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV2\	013.EMObs
014	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV3\	014.EMObs
016	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV6\	016.EMObs
017	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV2\	017.EMObs
018	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV4\	018.EMObs
019	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV4\	019.EMObs
021	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV6\	021.EMObs
022	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV5\	022.EMObs
023	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV7\	023.EMObs
024	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV3\	024.EMObs
025	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV3\	025.EMObs
026	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV6\	026.EMObs
027	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV2\	027.EMObs
028	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV4\	028.EMObs
029	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV7\	029.EMObs
030	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV5\	030.EMObs
031	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV5\	031.EMObs
032	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV7\	032.EMObs
033	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV4\	033.EMObs
034	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV2\	034.EMObs
036	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241104\BRUV3\	036.EMObs
037	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV3\	037.EMObs
	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV6\	038.EMObs
039	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV2\	039.EMObs
042	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV5\	042.EMObs
043	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV5\	043.EMObs
044	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV7\	044.EMObs
045	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV4\	045.EMObs
046	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV2\	046.EMObs
047	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV6\	047.EMObs
048	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV3\	048.EMObs
049	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV3\	049.EMObs
050	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV6\	050.EMObs
051	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV2\	051.EMObs
052	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV4\	052.EMObs
053	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV7\	053.EMObs
055	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV5\	055.EMObs
058	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV2\	058.EMObs
059	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV6\	059.EMObs
060	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV3\	060.EMObs
061	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV3\	061.EMObs
063	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV2\	063.EMObs
064	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV4\	064.EMObs
065	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV7\	065.EMObs
066	1.09	2024 12 19 10:54:31	J:\2024-Wudjari-Bait-Comp\20241105\BRUV5\	066.EMObs
