System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,002,12,,1,d4d1add1-9984-4c87-aa83-af2ef68fc712,11/3/2024 6:12:30 AM,hannah.m.williams,11/3/2024 6:12:30 AM,hannah.m.williams,123.182205000066,-34.0863383330745
4,006,29,,2,db592032-3b0d-4eab-a5b4-f04f54bef7f2,11/3/2024 6:57:04 AM,hannah.m.williams,11/3/2024 6:57:04 AM,hannah.m.williams,123.159703333178,-34.1031949998375
7,009,30,,3,b92a4606-1053-48de-8802-f21afdfbf509,11/3/2024 7:25:00 AM,hannah.m.williams,11/3/2024 7:25:00 AM,hannah.m.williams,123.157178333306,-34.1205649999314
5,011,15,,4,fa389b83-b3b0-4d90-bd3d-d4309ded21ca,11/3/2024 11:06:10 PM,hannah.m.williams,11/3/2024 11:06:10 PM,hannah.m.williams,123.190925000428,-34.1188650001164
3,014,15,,5,d11e6beb-32e4-4914-8e5f-bb92edad4704,11/3/2024 11:20:11 PM,hannah.m.williams,11/3/2024 11:20:11 PM,hannah.m.williams,123.20468166684,-34.1177999999327
2,017,14,,6,4e3d533e-b6b3-47ec-8bed-2dc9e1bb38a5,11/4/2024 12:55:08 AM,hannah.m.williams,11/4/2024 12:55:08 AM,hannah.m.williams,123.217355000054,-34.1060600000639
2,020,14,,7,8c54429e-ef83-49d0-b123-e48ec269c663,11/4/2024 3:56:29 AM,hannah.m.williams,11/4/2024 3:56:29 AM,hannah.m.williams,123.174889999843,-34.014743333103
7,023,12,,8,f1a07c7c-3e05-48c4-a07a-48495e37aa3d,11/4/2024 4:08:50 AM,hannah.m.williams,11/4/2024 4:08:50 AM,hannah.m.williams,123.163066666924,-34.0175433333246
6,026,27,,9,dffeca62-61fd-41cd-af58-29d64cd29e55,11/4/2024 5:38:03 AM,hannah.m.williams,11/4/2024 5:38:03 AM,hannah.m.williams,123.150161666284,-34.0104033334744
7,029,21,,10,572090ca-62f8-4478-928b-f4b28b22f478,11/4/2024 5:57:45 AM,hannah.m.williams,11/4/2024 5:57:45 AM,hannah.m.williams,123.132024999599,-33.9963416664726
7,032,13,,11,3b9e7b92-c005-4679-9f77-47a0b100a055,11/4/2024 7:36:07 AM,hannah.m.williams,11/4/2024 7:36:07 AM,hannah.m.williams,123.116519999642,-33.9576283329963
6,035,18,,12,26bb923d-ff9b-441e-9d8a-d8fc28e0037f,11/4/2024 7:48:40 AM,hannah.m.williams,11/4/2024 7:48:40 AM,hannah.m.williams,123.137154999709,-33.9510983331142
6,038,22,,13,cd78f59d-5b7e-4c56-94e8-cd3a452a78b4,11/4/2024 11:22:15 PM,hannah.m.williams,11/4/2024 11:22:15 PM,hannah.m.williams,122.921583333606,-33.9735533332036
