System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
3,003,29,,1,46666fd4-8da5-4704-babf-36227eb4ac59,11/03/2024 6:22,hannah.m.williams,11/03/2024 6:22,hannah.m.williams,123.1778433,-34.07862
2,005,28,,2,db5453b6-e202-479f-9633-ee297d431b2c,11/03/2024 6:51,hannah.m.williams,11/03/2024 6:51,hannah.m.williams,123.1644917,-34.099035
6,008,29,,3,2b1cde29-3ae3-456a-b04d-db70d449f475,11/03/2024 7:15,hannah.m.williams,11/03/2024 23:24,hannah.m.williams,123.15696,-34.113365
4,012,20,,4,ebd42b9b-db14-42ec-a60c-58d8d6655221,11/03/2024 23:11,hannah.m.williams,11/03/2024 23:12,hannah.m.williams,123.1973217,-34.116775
6,015,18,,5,e79ba177-ab7a-49e8-8526-ddf69ad42612,11/03/2024 23:24,hannah.m.williams,11/03/2024 23:24,hannah.m.williams,123.20819,-34.12232333
4,018,14,,6,64817217-35fc-496e-871a-c04a9bbbdf82,11/04/2024 1:01,hannah.m.williams,11/04/2024 1:01,hannah.m.williams,123.2161283,-34.093255
6,021,11,,7,e45b5a99-b8e6-4d86-9958-e281c7067227,11/04/2024 4:01,hannah.m.williams,11/04/2024 4:01,hannah.m.williams,123.1721133,-34.01794333
3,024,10,,8,cad673ae-229a-4a37-a80a-f4970218c59c,11/04/2024 4:14,hannah.m.williams,11/04/2024 4:14,hannah.m.williams,123.1578033,-34.01415833
2,027,16,,9,7529417b-42fe-47a7-a7e2-5711b6d2092a,11/04/2024 5:41,hannah.m.williams,11/04/2024 5:41,hannah.m.williams,123.1557283,-34.00650333
5,030,21,,10,f0562f77-d265-41ef-a235-4d161da08e19,11/04/2024 6:05,hannah.m.williams,11/04/2024 6:05,hannah.m.williams,123.1325617,-33.98273833
4,033,21,,11,0334f0be-6197-4d66-8a53-1817e01b3a01,11/04/2024 7:39,hannah.m.williams,11/04/2024 7:39,hannah.m.williams,123.1220967,-33.95464333
3,036,8,,12,22ef982a-6805-4a14-83b4-030d93f71dba,11/04/2024 7:53,hannah.m.williams,11/04/2024 7:53,hannah.m.williams,123.1465899,-33.95002798
2,039,16,,13,be11dff3-e2ce-4b1d-95b0-f81a9dee7a14,11/04/2024 23:25,hannah.m.williams,11/04/2024 23:25,hannah.m.williams,122.9291367,-33.97177
5,042,11,,14,9903a950-3e75-4315-9b64-40b0f643b604,11/04/2024 23:44,hannah.m.williams,11/04/2024 23:44,hannah.m.williams,122.9097067,-33.96357667
4,045,18,,15,e1feed0b-d727-4ec1-be68-3930b75072c3,11/05/2024 1:05,hannah.m.williams,11/05/2024 1:05,hannah.m.williams,122.8968133,-33.97519833
3,048,14,,16,a2a7a6bf-6fe4-438a-a06b-f61be33885fa,11/05/2024 1:17,hannah.m.williams,11/05/2024 1:17,hannah.m.williams,122.8999583,-33.96134833
2,051,14,,17,c746d3c2-48c8-4b84-a1ef-292c0d5db18f,11/05/2024 2:56,hannah.m.williams,11/05/2024 2:56,hannah.m.williams,122.8378233,-33.985955
5,054,8,,18,b370dd1d-5dcd-4008-a849-3399b1348ffc,11/05/2024 3:13,hannah.m.williams,11/05/2024 3:13,hannah.m.williams,122.81113,-34.00384167
4,057,15,,19,245d8907-e91a-4f79-850f-270dcaf3eed1,11/05/2024 5:06,hannah.m.williams,11/05/2024 5:06,hannah.m.williams,122.7188333,-33.990495
3,060,17,,20,160d2316-8e45-48c1-b515-0321991606b1,11/05/2024 5:35,hannah.m.williams,11/05/2024 5:35,hannah.m.williams,122.665065,-33.98879333
2,063,25,,21,cd4c88d6-d8d6-40af-b4f1-b8994bf9ade2,11/05/2024 6:51,hannah.m.williams,11/05/2024 6:51,hannah.m.williams,122.6564867,-33.99967
5,066,12,,22,e50d3a2b-acb1-459d-897c-852ad8c5f2cb,11/05/2024 7:09,hannah.m.williams,11/05/2024 7:09,hannah.m.williams,122.63727,-33.999925
4,069,11,,23,98dd7e22-aa88-4a22-b8a7-cbb11cdb1114,11/05/2024 22:59,hannah.m.williams,11/05/2024 22:59,hannah.m.williams,122.577375,-34.006235
3,072,13,,24,2868de3f-9d48-42ef-ad90-852d14310875,11/05/2024 23:11,hannah.m.williams,11/05/2024 23:11,hannah.m.williams,122.5895733,-34.00261667
2,075,26,,25,fae254f6-f186-4572-a055-b266daecf395,11/06/2024 1:56,hannah.m.williams,11/06/2024 1:56,hannah.m.williams,122.3462333,-34.106735
5,078,22,,26,c37a9a16-7d0e-45c0-a52b-2edf6c5b40a8,11/06/2024 2:03,hannah.m.williams,11/06/2024 2:03,hannah.m.williams,122.346,-34.11664667
4,081,10,,27,596e4b6d-0343-4e13-a8bc-3961be37077e,11/06/2024 3:53,hannah.m.williams,11/06/2024 3:53,hannah.m.williams,122.2623217,-34.12448333
3,084,19,,28,5ef0feab-e6e5-40d5-94e7-f70c9505c80e,11/06/2024 4:02,hannah.m.williams,11/06/2024 4:02,hannah.m.williams,122.2584117,-34.13501667
2,087,8,,29,700e3bc8-d125-432c-a720-80f422879575,11/06/2024 5:21,hannah.m.williams,11/06/2024 5:21,hannah.m.williams,122.2555683,-34.146425
5,090,20,,30,b66b1e8f-af5c-4660-b57b-7bdcebb546b4,11/06/2024 5:31,hannah.m.williams,11/06/2024 5:31,hannah.m.williams,122.25726,-34.151855
4,093,21,,31,8bc92688-b58a-4876-9ab6-ebaf728c0ab1,11/06/2024 22:49,hannah.m.williams,11/06/2024 22:49,hannah.m.williams,122.28127,-34.00519833
3,096,25,,32,30ead59f-06c6-4409-98f6-29dcbdac8e9b,11/06/2024 23:09,hannah.m.williams,11/06/2024 23:09,hannah.m.williams,122.2359867,-34.01403333
2,099,20,,33,75ec63de-7255-483f-81ae-6e3152610def,11/07/2024 0:28,hannah.m.williams,11/07/2024 0:28,hannah.m.williams,122.2170983,-34.00178667
5,102,24,,34,12544eda-3714-46bc-8cf5-b397d42fb978,11/07/2024 0:37,hannah.m.williams,11/07/2024 0:37,hannah.m.williams,122.2075017,-34.00594833
4,105,5,,35,ab63ace3-8727-498e-9c16-b3c2026f1b59,11/07/2024 2:12,hannah.m.williams,11/07/2024 2:12,hannah.m.williams,122.1484633,-34.027025
3,108,18,,36,e71672ad-416f-4abd-89ce-ff9e03896eaa,11/07/2024 2:36,hannah.m.williams,11/07/2024 2:36,hannah.m.williams,122.1266333,-34.01328333
