count,sample,longitude_dd,latitude_dd,location,source
20,bb1,124.13,-33.8536,new year island,bushblitz
12,bb2,124.1258,-33.8628,new year island,bushblitz
20,bb3,124.1299,-33.8447,daw island,bushblitz
8,bb4,125.3386,-33.7257,pointer island,bushblitz
10,bb7,124.1352,-33.8508,daw island,bushblitz
12,bb12,123.2136,-34.0689,middle island,bushblitz
8,bb13,123.2138,-34.0686,middle island,bushblitz
8,bb15,123.18,-34.0674,goose island,bushblitz
6,bb16,123.1803,-34.0834,middle island,bushblitz
5,bb18,123.1771,-34.1009,middle island,bushblitz
3,bb23,123.5169,-34.0006,pasley island,bushblitz
1,bb24,123.5169,-34.0006,pasley island,bushblitz
15,bb25,122.6543,-33.9974,mart island,bushblitz
15,bb26,122.6548,-33.9994,mart island,bushblitz
6,bb27,122.2564,-34.1183,mondrain island,bushblitz
