"","species","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth_m","macroalgae","ecklonia","mean_relief","time_hr","bait","stage","cumsum.wi"
"bait+ecklonia+stage+time_hr","gouldii","s(ecklonia, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + bait + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",916.593082882705,1197.561250021,0.34698,NA,80.71,1,0,0.298,0.242,0.121,0,0,1,0,1,1,1,0.242
"bait+mean_relief+stage+time_hr","gouldii","s(mean_relief, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + bait + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",916.6829576034,1197.32345514952,0.34782,NA,80.61,1,0.09,0.06,0.231,0.136,0,0,0,1,1,1,1,0.473
"ecklonia+stage+time_hr","gouldii","s(ecklonia, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",918.530501643388,1200.22388841262,0.35055,NA,80.95,1,1.937,2.961,0.092,0.032,0,0,1,0,1,0,1,0.565
"depth_m+ecklonia+stage+time_hr","gouldii","s(depth_m, k = 3, bs = ""cr"") + s(ecklonia, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",918.64387051751,1197.26324551609,0.35303,NA,79.62,1,2.051,0,0.087,0.14,1,0,1,0,1,0,1,0.652
"mean_relief+stage+time_hr","gouldii","s(mean_relief, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",918.934619904334,1200.48579674609,0.35166,NA,80.87,1,2.342,3.223,0.075,0.028,0,0,0,1,1,0,1,0.727
"mean_relief+stage","gouldii","s(mean_relief, k = 3, bs = ""cr"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",919.172031112243,1200.33843913714,0.35321,NA,80.99,1,2.579,3.075,0.067,0.03,0,0,0,1,0,0,1,0.794
"depth_m+mean_relief+stage+time_hr","gouldii","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",919.605300241595,1199.70845649273,0.35356,NA,80.15,1,3.012,2.445,0.054,0.041,1,0,0,1,1,0,1,0.848
"macroalgae+stage+time_hr","gouldii","s(macroalgae, k = 3, bs = ""cr"") + s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",920.233985893919,1203.6753495829,0.35083,NA,81.39,1,3.641,6.412,0.039,0.006,0,1,0,0,1,0,1,0.887
"stage+time_hr","gouldii","s(time_hr, k = 3, bs = ""cc"") + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",920.754718816566,1203.97893240502,0.35145,NA,81.06,1,4.162,6.716,0.03,0.005,0,0,0,0,1,0,1,0.917
"bait+depth_m+stage","gouldii","s(depth_m, k = 3, bs = ""cr"") + bait + stage + s(location, site, bs = ""re"") + s(opcode, bs = ""re"")",921.545547330734,1203.15955835445,0.35086,NA,78.64,0,4.952,5.896,0.02,0.007,1,0,0,0,0,1,1,0.937
